date_agg,week_date,days_since_coinbase,herfindal_index
202026,2020-02-03,6,0.20119256234322061
202026,2020-02-03,7,0.19986534177799514
202026,2020-02-03,8,0.19557751736239221
202026,2020-02-03,9,0.19363550074212388
202026,2020-02-03,10,0.189971490552895
202026,2020-02-03,11,0.18873401663506723
202026,2020-02-03,12,0.18794907681397577
202026,2020-02-03,13,0.18593884698264432
202026,2020-02-03,14,0.18430927784720447
202026,2020-02-03,15,0.18241403234066361
202026,2020-02-03,16,0.18108631181908574
202026,2020-02-03,17,0.17944680327086313
202026,2020-02-03,18,0.1786010620009916
202026,2020-02-03,19,0.17767215830832861
202026,2020-02-03,20,0.1774814955334538
202026,2020-02-03,21,0.17734252026571959
202026,2020-02-03,22,0.17730862545808349
202026,2020-02-03,23,0.17705120209974803
202026,2020-02-03,24,0.1761884237731865
202026,2020-02-03,25,0.17553658277084236
202026,2020-02-03,26,0.17486460839958512
202026,2020-02-03,27,0.17404071527351855
202026,2020-02-03,28,0.17340051508066007
202026,2020-02-03,29,0.17321717164583336
202026,2020-02-03,30,0.17317370333385781
202026,2020-02-03,31,0.17279898802036966
202026,2020-02-03,32,0.17269271471821462
202026,2020-02-03,33,0.17236092726365979
202026,2020-02-03,34,0.1722526714838441
202026,2020-02-03,35,0.17215839848796066
202026,2020-02-03,36,0.1720154333302758
202026,2020-02-03,37,0.17182438715892365
202026,2020-02-03,38,0.17164611839913047
202026,2020-02-03,39,0.17164006300094645
202026,2020-02-03,40,0.17163865989321489
202026,2020-02-03,41,0.17163429333724434
202026,2020-02-03,42,0.17163238631576638
202026,2020-02-03,43,0.17163107405531158
202026,2020-02-03,44,0.17162877564959439
202026,2020-02-03,45,0.17137022802801605
202026,2020-02-03,46,0.17136989094614621
202026,2020-02-03,47,0.17136936007940881
202026,2020-02-03,48,0.17129609302910723
202026,2020-02-03,49,0.17129499145375174
202026,2020-02-03,50,0.17129226152629753
202026,2020-02-03,51,0.17129211500581362
202026,2020-02-03,52,0.171202923425806
202026,2020-02-03,53,0.17119617218178221
202026,2020-02-03,54,0.17119298834697372
202026,2020-02-03,55,0.17119144275372425
202026,2020-02-03,56,0.17118659368105696
202026,2020-02-03,57,0.17117358954739056
202026,2020-02-03,58,0.17117350048395749
202026,2020-02-03,59,0.1711335210182893
202026,2020-02-03,60,0.1711327624218873
202026,2020-02-03,61,0.1711249848363238
202026,2020-02-03,62,0.17111919771961284
202026,2020-02-03,63,0.17111550550459526
202026,2020-02-03,64,0.17111535190138824
202026,2020-02-03,65,0.17110233935549848
202026,2020-02-03,66,0.17110225223152375
202026,2020-02-03,67,0.17110082436999358
202026,2020-02-03,68,0.1711007872740081
202026,2020-02-03,69,0.17110077034234258
202026,2020-02-03,70,0.17110076496253007
202026,2020-02-03,71,0.17109985969937619
202026,2020-02-03,72,0.17109979824701513
202026,2020-02-03,73,0.17109973275950244
202026,2020-02-03,74,0.17109933381129019
202026,2020-02-03,75,0.17109910321382724
202026,2020-02-03,76,0.17109875973538161
202026,2020-02-03,77,0.17109738800509589
202026,2020-02-03,78,0.17109668339567086
202026,2020-02-03,79,0.17109354178804204
202026,2020-02-03,80,0.17106788256477054
202026,2020-02-03,81,0.17106125567831482
202026,2020-02-03,82,0.17105459215456784
202026,2020-02-03,83,0.17085368138968024
202026,2020-02-03,84,0.17083789610479302
202026,2020-02-03,85,0.17083687632485142
202026,2020-02-03,86,0.17082922206542128
202026,2020-02-03,87,0.17082123995353526
202026,2020-02-03,88,0.17082028940061486
202026,2020-02-03,89,0.1708201171003535
202026,2020-02-03,90,0.17081780199672322
202026,2020-02-03,91,0.17079553264026595
202026,2020-02-03,92,0.17079509208981974
202026,2020-02-03,93,0.17079478547819804
202026,2020-02-03,94,0.17068616496699002
202026,2020-02-03,95,0.17068615650912489
202026,2020-02-03,96,0.17068518568745025
202026,2020-02-03,97,0.1706840979153538
202026,2020-02-03,98,0.17068371783400479
202026,2020-02-03,99,0.17068374695852936
202026,2020-02-03,100,0.17068384182193791
202026,2020-02-03,101,0.17068393610535512
202026,2020-02-03,102,0.17068392539731916
202026,2020-02-03,103,0.17068379938984424
202026,2020-02-03,104,0.17068371750445308
202026,2020-02-03,105,0.1706805617982661
202026,2020-02-03,106,0.17067871565486417
202026,2020-02-03,107,0.17067770550490421
202026,2020-02-03,108,0.17067583047135237
202026,2020-02-03,109,0.17067584652359355
202026,2020-02-03,110,0.17067571925998609
202026,2020-02-03,111,0.17056740813545418
202026,2020-02-03,112,0.17055302709382519
202026,2020-02-03,113,0.17055290306772034
202026,2020-02-03,114,0.17055080274558246
202026,2020-02-03,115,0.17055058164216483
202026,2020-02-03,116,0.17054079267215938
202026,2020-02-03,117,0.17054068590387547
202026,2020-02-03,118,0.17052954007106044
202026,2020-02-03,119,0.17052866041034409
202026,2020-02-03,120,0.17052850254493446
202026,2020-02-03,121,0.17052498234079097
202026,2020-02-03,122,0.17052496699301933
202026,2020-02-03,123,0.17052288977532043
202026,2020-02-03,124,0.17052286123327873
202026,2020-02-03,125,0.17052279415306723
202026,2020-02-03,126,0.17052276846893638
202026,2020-02-03,127,0.17052269717468663
202026,2020-02-03,128,0.17049885878763835
202026,2020-02-03,129,0.17049886167691355
202026,2020-02-03,130,0.17049748616046564
202026,2020-02-03,131,0.17049623815066609
202026,2020-02-03,132,0.1704927852429178
202026,2020-02-03,133,0.17049277489394579
202026,2020-02-03,134,0.1704359448352625
202026,2020-02-03,135,0.17043498984786343
202026,2020-02-03,136,0.170434955891831
202026,2020-02-03,137,0.17043413860079223
202026,2020-02-03,138,0.17043414566034332
202026,2020-02-03,139,0.17043393029480805
202026,2020-02-03,140,0.17043392845472169
202026,2020-02-03,141,0.17043387496899498
202026,2020-02-03,142,0.17043275676354258
