month,bucket,bucket_type,tx_count
2011-06-01,$0.01-$0.15,usd,18
2011-06-01,$0.15+,usd,1
2011-07-01,0,sats,143204
2011-07-01,0-2,sats,406
2011-07-01,100-130,sats,10155
2011-07-01,12-18,sats,549
2011-07-01,130-170,sats,1080
2011-07-01,170-220,sats,65640
2011-07-01,18-24,sats,129
2011-07-01,2-4,sats,93
2011-07-01,220-350,sats,1888
2011-07-01,24-30,sats,89
2011-07-01,30-40,sats,311
2011-07-01,350-600,sats,1428
2011-07-01,4-6,sats,35
2011-07-01,40-50,sats,115
2011-07-01,50-60,sats,2059
2011-07-01,6-9,sats,52
2011-07-01,60-80,sats,3324
2011-07-01,600+,sats,26212
2011-07-01,80-100,sats,4871
2011-07-01,9-12,sats,706
2011-07-01,$0,usd,143204
2011-07-01,$0-$0.00005,usd,91512
2011-07-01,$0.00005-$0.00008,usd,1386
2011-07-01,$0.00008-$0.0001,usd,173
2011-07-01,$0.0001-$0.00015,usd,1017
2011-07-01,$0.00015-$0.0002,usd,2135
2011-07-01,$0.0002-$0.00025,usd,2130
2011-07-01,$0.00025-$0.0003,usd,661
2011-07-01,$0.0003-$0.0004,usd,3016
2011-07-01,$0.0004-$0.0005,usd,453
2011-07-01,$0.0005-$0.00065,usd,15150
2011-07-01,$0.00065-$0.0009,usd,775
2011-07-01,$0.0009-$0.001,usd,74
2011-07-01,$0.001-$0.0015,usd,216
2011-07-01,$0.0015-$0.002,usd,416
2011-07-01,$0.002-$0.003,usd,10
2011-07-01,$0.003-$0.0045,usd,11
2011-07-01,$0.0045-$0.007,usd,2
2011-07-01,$0.007-$0.01,usd,5
2011-08-01,0,sats,130276
2011-08-01,0-2,sats,401
2011-08-01,100-130,sats,10440
2011-08-01,12-18,sats,454
2011-08-01,130-170,sats,874
2011-08-01,170-220,sats,58426
2011-08-01,18-24,sats,134
2011-08-01,2-4,sats,67
2011-08-01,220-350,sats,2215
2011-08-01,24-30,sats,107
2011-08-01,30-40,sats,247
2011-08-01,350-600,sats,1394
2011-08-01,4-6,sats,29
2011-08-01,40-50,sats,110
2011-08-01,50-60,sats,2581
2011-08-01,6-9,sats,36
2011-08-01,60-80,sats,4095
2011-08-01,600+,sats,13948
2011-08-01,80-100,sats,5524
2011-08-01,9-12,sats,569
2011-08-01,$0,usd,130276
2011-08-01,$0-$0.00005,usd,87462
2011-08-01,$0.00005-$0.00008,usd,623
2011-08-01,$0.00008-$0.0001,usd,491
2011-08-01,$0.0001-$0.00015,usd,1746
2011-08-01,$0.00015-$0.0002,usd,1529
2011-08-01,$0.0002-$0.00025,usd,1319
2011-08-01,$0.00025-$0.0003,usd,941
2011-08-01,$0.0003-$0.0004,usd,3502
2011-08-01,$0.0004-$0.0005,usd,3231
2011-08-01,$0.0005-$0.00065,usd,513
2011-08-01,$0.00065-$0.0009,usd,161
2011-08-01,$0.0009-$0.001,usd,20
2011-08-01,$0.001-$0.0015,usd,71
2011-08-01,$0.0015-$0.002,usd,8
2011-08-01,$0.002-$0.003,usd,20
2011-08-01,$0.003-$0.0045,usd,6
2011-08-01,$0.0045-$0.007,usd,4
2011-08-01,$0.007-$0.01,usd,1
2011-08-01,$0.01-$0.15,usd,3
2011-09-01,0,sats,110896
2011-09-01,0-2,sats,371
2011-09-01,100-130,sats,7898
2011-09-01,12-18,sats,252
2011-09-01,130-170,sats,487
2011-09-01,170-220,sats,48061
2011-09-01,18-24,sats,98
2011-09-01,2-4,sats,97
2011-09-01,220-350,sats,2132
2011-09-01,24-30,sats,96
2011-09-01,30-40,sats,218
2011-09-01,350-600,sats,986
2011-09-01,4-6,sats,35
2011-09-01,40-50,sats,86
2011-09-01,50-60,sats,2522
2011-09-01,6-9,sats,45
2011-09-01,60-80,sats,3500
2011-09-01,600+,sats,8315
2011-09-01,80-100,sats,4187
2011-09-01,9-12,sats,268
2011-09-01,$0,usd,110896
2011-09-01,$0-$0.00005,usd,71700
2011-09-01,$0.00005-$0.00008,usd,1141
2011-09-01,$0.00008-$0.0001,usd,688
2011-09-01,$0.0001-$0.00015,usd,1462
2011-09-01,$0.00015-$0.0002,usd,1157
2011-09-01,$0.0002-$0.00025,usd,1375
2011-09-01,$0.00025-$0.0003,usd,906
2011-09-01,$0.0003-$0.0004,usd,869
2011-09-01,$0.0004-$0.0005,usd,40
2011-09-01,$0.0005-$0.00065,usd,214
2011-09-01,$0.00065-$0.0009,usd,38
2011-09-01,$0.0009-$0.001,usd,12
2011-09-01,$0.001-$0.0015,usd,35
