date,days_since_coinbase,herfindal_index
2009-12-01T00:00:00,24,0.9996991624157886
2009-12-01T00:00:00,25,0.99969916241578893
2009-12-01T00:00:00,26,0.99969916241578793
2009-12-01T00:00:00,27,0.99969916241578816
2009-12-01T00:00:00,28,0.99969916241578882
2010-01-01T00:00:00,0,1.0
2010-01-01T00:00:00,1,0.99950254271857308
2010-01-01T00:00:00,2,0.99934459206027859
2010-01-01T00:00:00,3,0.99934063188353506
2010-01-01T00:00:00,4,0.99922571633228763
2010-01-01T00:00:00,5,0.99918038139186582
2010-01-01T00:00:00,6,0.99917493715218719
2010-01-01T00:00:00,7,0.999159061367531
2010-01-01T00:00:00,8,0.99914518840716982
2010-01-01T00:00:00,9,0.999124419685824
2010-01-01T00:00:00,10,0.99909774576308652
2010-01-01T00:00:00,11,0.99908062672444364
2010-01-01T00:00:00,12,0.99906776687699594
2010-01-01T00:00:00,13,0.9990569812632728
2010-01-01T00:00:00,14,0.99904631998307947
2010-01-01T00:00:00,15,0.99902614369935949
2010-01-01T00:00:00,16,0.99899733537942881
2010-01-01T00:00:00,17,0.99850077207868448
2010-01-01T00:00:00,18,0.99792922237500736
2010-01-01T00:00:00,19,0.99790670045398755
2010-01-01T00:00:00,20,0.99772106052356424
2010-01-01T00:00:00,21,0.9976994597787685
2010-01-01T00:00:00,22,0.99745898175315728
2010-01-01T00:00:00,23,0.99666678337583969
2010-01-01T00:00:00,24,0.996581634881841
2010-01-01T00:00:00,25,0.9963420831026909
2010-01-01T00:00:00,26,0.99554242099698376
2010-01-01T00:00:00,27,0.99397559949322267
2010-01-01T00:00:00,28,0.992178233594098
2010-02-01T00:00:00,0,0.99999694835690323
2010-02-01T00:00:00,1,0.99971653231675484
2010-02-01T00:00:00,2,0.99967697431854552
2010-02-01T00:00:00,3,0.99961269179449475
2010-02-01T00:00:00,4,0.99950870420853088
2010-02-01T00:00:00,5,0.99920673786888081
2010-02-01T00:00:00,6,0.99902302652333286
2010-02-01T00:00:00,7,0.99885151423040419
2010-02-01T00:00:00,8,0.9984041475875004
2010-02-01T00:00:00,9,0.99796897946450647
2010-02-01T00:00:00,10,0.99736127395677088
2010-02-01T00:00:00,11,0.99695021870597589
2010-02-01T00:00:00,12,0.99639646574829888
2010-02-01T00:00:00,13,0.99571713863345623
2010-02-01T00:00:00,14,0.99456352103233547
2010-02-01T00:00:00,15,0.99435256965248964
2010-02-01T00:00:00,16,0.99387230943548288
2010-02-01T00:00:00,17,0.99355028126483658
2010-02-01T00:00:00,18,0.99303510006696738
2010-02-01T00:00:00,19,0.99284187768675258
2010-02-01T00:00:00,20,0.99229675786798333
2010-02-01T00:00:00,21,0.99130079059526122
2010-02-01T00:00:00,22,0.99059248383075094
2010-02-01T00:00:00,23,0.99007734410101711
2010-02-01T00:00:00,24,0.98969098239446651
2010-02-01T00:00:00,25,0.98930460686941779
