date,total_fees,channel_open_fees,channel_close_fees,lightning_fees,lightning_pct
2018-07-08,15.64479917,0.00007242,0,0.00007242,0.000004629
2018-07-09,19.92606527,0.0000637,0,0.0000637,0.000003197
2018-07-10,22.86071401,0.00022626,0,0.00022626,0.000009897
2018-07-11,20.44250057,0.0000749,0,0.0000749,0.000003664
2018-07-12,18.63321237,0.00013327,0,0.00013327,0.000007152
2018-07-13,19.53514153,0.0001367,0,0.0001367,0.000006998
2018-07-14,15.01264127,0.00007724,0,0.00007724,0.000005145
2018-07-15,15.27821656,0.0003131,0,0.0003131,0.000020493
2018-07-16,23.61292569,0.00017676,0,0.00017676,0.000007486
2018-07-17,24.94209666,0.00033745,0,0.00033745,0.000013529
2018-07-18,31.82668475,0.00040832,0,0.00040832,0.000012829
2018-07-19,28.82741906,0.00020217,0,0.00020217,0.000007013
2018-07-20,23.08779797,0.00026403,0,0.00026403,0.000011436
2018-07-21,17.37819099,0.00045838,0,0.00045838,0.000026377
2018-07-22,14.77231882,0.00023271,0,0.00023271,0.000015753
2018-07-23,26.12072165,0.00041553,0,0.00041553,0.000015908
2018-07-24,29.64295029,0.00031434,0,0.00031434,0.000010604
2018-07-25,26.82417337,0.00027427,0,0.00027427,0.000010225
2018-07-26,23.88022702,0.00022206,0,0.00022206,0.000009299
2018-07-27,20.72404572,0.00019407,0,0.00019407,0.000009364
2018-07-28,16.74880998,0.00013682,0,0.00013682,0.000008169
2018-07-29,15.67077716,0.00043474,0,0.00043474,0.000027742
2018-07-30,24.57789474,0.00057603,0,0.00057603,0.000023437
2018-07-31,25.5829697,0.00013524,0,0.00013524,0.000005286
2018-08-01,21.2832986,0.00011862,0,0.00011862,0.000005573
2018-08-02,25.20903778,0.00056486,0,0.00056486,0.000022407
2018-08-03,23.21487948,0.00019447,0,0.00019447,0.000008377
2018-08-04,17.19453121,0.00016757,0,0.00016757,0.000009746
2018-08-05,13.6299328,0.0000801,0,0.0000801,0.000005877
2018-08-06,17.7504862,0.00004756,0,0.00004756,0.000002679
2018-08-07,18.61533926,0.0000606,0,0.0000606,0.000003255
2018-08-08,20.75086011,0.00009046,0,0.00009046,0.000004359
2018-08-09,20.7502075,0.00025581,0,0.00025581,0.000012328
2018-08-10,20.41451761,0.00007908,0,0.00007908,0.000003874
2018-08-11,15.39050663,0.00010273,0,0.00010273,0.000006675
2018-08-12,12.77525693,0.0000776,0,0.0000776,0.000006074
2018-08-13,19.92080467,0.00011803,0,0.00011803,0.000005925
2018-08-14,26.45582537,0.00034268,0,0.00034268,0.000012953
2018-08-15,22.16329503,0.00022012,0,0.00022012,0.000009932
2018-08-16,24.04769454,0.00018046,0,0.00018046,0.000007504
2018-08-17,24.88424895,0.00011507,0,0.00011507,0.000004624
2018-08-18,16.45331646,0.00005328,0,0.00005328,0.000003238
2018-08-19,17.04586085,0.00007291,0,0.00007291,0.000004277
2018-08-20,29.07233893,0.00072359,0,0.00072359,0.000024889
2018-08-21,24.75227584,0.00019135,0,0.00019135,0.000007731
2018-08-22,24.27418043,0.00025082,0,0.00025082,0.000010333
2018-08-23,19.30837036,0.00011594,0,0.00011594,0.000006005
2018-08-24,19.15356329,0.00011416,0,0.00011416,0.00000596
2018-08-25,21.06312548,0.00010125,0,0.00010125,0.000004807
2018-08-26,27.80300602,0.00019221,0,0.00019221,0.000006913
2018-08-27,32.65580356,0.00009882,0,0.00009882,0.000003026
2018-08-28,45.21346372,0.00081132,0,0.00081132,0.000017944
2018-08-29,23.64752291,0.00053115,0,0.00053115,0.000022461
2018-08-30,24.10101603,0.00031611,0,0.00031611,0.000013116
2018-08-31,25.25628116,0.00048235,0,0.00048235,0.000019098
2018-09-01,19.2117222,0.00020013,0,0.00020013,0.000010417
2018-09-02,16.3033171,0.00014029,0,0.00014029,0.000008605
2018-09-03,19.91598267,0.00026617,0,0.00026617,0.000013365
2018-09-04,24.1065379,0.00035208,0,0.00035208,0.000014605
2018-09-05,31.82732747,0.00081187,0,0.00081187,0.000025509
2018-09-06,31.29006024,0.0011695,0,0.0011695,0.000037376
2018-09-07,27.92194982,0.00223791,0,0.00223791,0.000080149
2018-09-08,18.81937591,0.00090246,0,0.00090246,0.000047954
2018-09-09,18.37028897,0.00033573,0,0.00033573,0.000018276
2018-09-10,19.97514305,0.00029984,0,0.00029984,0.000015011
2018-09-11,23.27470384,0.00028741,0,0.00028741,0.000012349
2018-09-12,23.91441308,0.00066631,0,0.00066631,0.000027862
2018-09-13,20.29803773,0.00042245,0,0.00042245,0.000020812
2018-09-14,21.21893106,0.00026783,0,0.00026783,0.000012622
2018-09-15,15.69995673,0.00030922,0,0.00030922,0.000019696
2018-09-16,13.07015213,0.00009091,0,0.00009091,0.000006956
2018-09-17,17.45767671,0.00014897,0,0.00014897,0.000008533
2018-09-18,19.01368472,0.00011972,0,0.00011972,0.000006297
2018-09-19,17.09335521,0.00016945,0,0.00016945,0.000009913
2018-09-20,18.26192982,0.0002098,0,0.0002098,0.000011488
2018-09-21,25.61259462,0.0001955,0,0.0001955,0.000007633
2018-09-22,18.65597145,0.00123515,0,0.00123515,0.000066207
2018-09-23,14.47737832,0.00018424,0,0.00018424,0.000012726
2018-09-24,15.50844294,0.00005336,0,0.00005336,0.000003441
2018-09-25,20.31737127,0.00030636,0,0.00030636,0.000015079
2018-09-26,20.1338664,0.00028923,0,0.00028923,0.000014365
2018-09-27,23.65350638,0.00093492,0,0.00093492,0.000039526
2018-09-28,28.91825487,0.0006482,0,0.0006482,0.000022415
2018-09-29,19.10685859,0.00065992,0,0.00065992,0.000034538
2018-09-30,15.42794706,0.00026448,0,0.00026448,0.000017143
2018-10-01,21.82334691,0.00049649,0,0.00049649,0.00002275
2018-10-02,25.72269107,0.00057264,0,0.00057264,0.000022262
2018-10-03,21.36448501,0.00052042,0,0.00052042,0.000024359
