metric_date,herfindahl_index,prev_herfindahl_index,mean_change,mean_pct_change
2011-07-12,0.71690641106438968,0.717422104360445,-0.0035651542846933987,-0.0038113899897225631
2011-07-11,0.71638687781165433,0.7166014143908146,-0.0035261425034318647,-0.0036973697040249554
2011-07-10,0.71495228079830975,0.71513198311740922,-0.0031766069791437945,-0.003488781788448875
2011-07-09,0.71337535121401741,0.71366198381713386,-0.0034971099042823048,-0.0037413151604744344
2011-07-08,0.713014481245029,0.71311266266414886,-0.0035725136680868014,-0.0038108702632450838
2011-07-07,0.71236540519305014,0.71228436823510055,-0.0028643976915999807,-0.0031546503733979195
2011-07-06,0.71053927321111288,0.71075272980008763,-0.003428401028837914,-0.0036439599021803968
2011-07-05,0.70973083887179389,0.71076875631427883,-0.0041094545433002262,-0.0059134021592993245
2011-07-04,0.70942573472416137,0.70964304155952007,-0.004084161415227874,-0.0043750338695140332
2011-07-03,0.70879235726100509,0.70961927916548317,-0.00453822935713001,-0.0047037310849678046
2011-07-02,0.70699451894340448,0.7066376586691836,-0.0034833849472208447,-0.0037696603012322941
2011-07-01,0.70446267814000674,0.70435525726337778,-0.0036499853923630116,-0.004025388049626522
2011-06-30,0.70246762772282323,0.702884874881113,-0.0042209193240372277,-0.0047263904312724557
2011-06-29,0.70071416105856132,0.70058576937698991,-0.0033987835876229228,-0.0036843780100833776
2011-06-28,0.69847096798443375,0.6982872326182491,-0.0033935986277381053,-0.0039060144582689174
2011-06-27,0.69615084423806251,0.69671387049190459,-0.0038849736862369157,-0.00400937178563285
2011-06-26,0.6955103827127096,0.69526868808998621,-0.0031332993696981861,-0.0034847516590463252
2011-06-25,0.69359513176387355,0.69347376114082215,-0.0031919259358665834,-0.0035719516330879673
2011-06-24,0.69188231902414155,0.69053439200934608,-0.0033712468974022741,-0.0037613176722727107
2011-06-23,0.68928170172844161,0.688590413334913,-0.0037556967154119781,-0.0040615443262544187
2011-06-22,0.68665561479613668,0.68588129659072561,-0.0042328876165831373,-0.0046276398933781746
2011-06-21,0.68359042712390661,0.68233627221512183,-0.0038300850046462782,-0.004196511023908894
2011-06-20,0.680304853173753,0.68003189518049367,-0.0041911696563480486,-0.0045304626271797255
2011-06-19,0.67852218028007416,0.67902398858520108,-0.0043295359887275536,-0.0046866106306133574
2011-06-18,0.6779885896601715,0.67688910895141663,-0.002940603070253677,-0.003321239789640067
2011-06-17,0.67533588410277534,0.67540928973303549,-0.0037059563042052446,-0.0039586286301397221
2011-06-16,0.67528253537338323,0.67468610111364546,-0.0034854461229993959,-0.0037495180777540917
2011-06-15,0.67435781536172223,0.67389053393126974,-0.0043762522991670294,-0.0047079802680551792
2011-06-14,0.67300847573571243,0.6748044298240673,-0.0059774053501229774,-0.0068891085463556444
2011-06-13,0.67437764835415759,0.67475495663452578,-0.0052719363140198375,-0.0060086978721604527
2011-06-12,0.6733567815541297,0.67558348167505111,-0.0072909133472825729,-0.00893827134897774
2011-06-11,0.67443032488285692,0.67370968149906341,-0.0042533307630540909,-0.0045418254027347329
2011-06-10,0.67365529374940947,0.67315720436270021,-0.0040757249443117817,-0.004542985336245863
2011-06-09,0.67308631905430394,0.673995701625918,-0.0055839175791614123,-0.0064110125557634819
2011-06-08,0.67343700248152,0.67628004182729717,-0.0063115942683514507,-0.0067824023150156263
2011-06-07,0.67638112497208491,0.67579791375818443,-0.003114664036549863,-0.0034370371646713334
2011-06-06,0.67579194169000179,0.675200359003121,-0.0036464812248709648,-0.0039653966723728921
2011-06-05,0.67407430770650134,0.67405551306735978,-0.0041881742645449461,-0.0045674377002086252
2011-06-04,0.67297170421160757,0.67151072642833,-0.0039859372958708462,-0.0043602042148058566
2011-06-03,0.67081697327532819,0.67028286166084861,-0.0037695548417898636,-0.0041139313372127381
