pubkey,alias,first_seen,color
03b7c0c36bf75c01dda75952033860a630985c89ed96535e2e8131f788f33e6eda,03b7c0c36bf75c01dda7,2021-05-07 08:04:59.748116,3399ff
02246b2b802a75946ce00f18df050e9ce3edcb4b57f303967f7470980e5834011b,jesus-knows-where-your-money-is,2021-05-07 08:05:00.274085,ffffdf
025ec7a850c5cd7c3b0e11c27b0de1dcb206418dc723c338e661b65d2350af9abe,WhiteLightning,2021-05-07 08:05:00.538673,68f442
029a543994a39ff9c1ba1fc322101e2be34d57a5f38406f96b78fd3a2d38207b9d,Cybertronic,2021-05-07 08:05:01.066402,3399ff
03ae53b7da1eadba565c0b7d22553f99e495feabea3c34b8db43f5ef828b323485,ApoluneBTM,2021-05-07 08:05:01.593111,420dab
02617f0c044752f6ed39c80ee7e74240087b3311dfc19beb62776d7ddff9eeb184,02617f0c044752f6ed39,2021-05-07 08:05:01.856421,3399ff
033323c3b00f142cff4fd2e20e125112d0c58ae4a3cc135f4e57512652050a4c05,Toshi,2021-05-07 08:05:02.386189,fece9e
02f7d79ad43bb8aca7fc30813bf387c4f2639d0559152dc5ab8df04e216026b985,02f7d79ad43bb8aca7fc,2021-05-07 08:05:02.649551,3399ff
0251645b1e7cb045fa60cc8a81a8252d190e2b757b6199c3845c2df79797928902,0251645b1e7cb045fa60,2021-05-07 08:05:02.922013,3399ff
028d419f94a5c543be6690f1108ae3f077fc1db5590d25a48eced516f4a04af421,028d419f94a5c543be66,2021-05-07 08:05:03.452966,3399ff
0373a1c4ec1a64f4b812f08bc9816c45bed7314c9b7a9fced5dd54de0435ed2d6e,0373a1c4ec1a64f4b812,2021-05-07 08:05:03.979528,3399ff
0394614d13aa395f9499eb4dac9d82796353e10809cd610807d49752aac5d10cc1,0394614d13aa395f9499,2021-05-07 08:05:04.767012,3399ff
021744d86987a91958461117cd9e7c0e3160f7b86de11f5998018f4b4984a5c330,flypdev,2021-05-07 08:05:05.032915,3399ff
034d2cdbf0c5cd02d572701c75dfc01a77779ed66fb55133f38d5270476ce04d2d,034d2cdbf0c5cd02d572,2021-05-07 08:05:05.559944,3399ff
0337eb3ad7b4db8f6cc50da93eecbae2e83e735b37fca190750cc2d2573f4ddbfa,Endor,2021-05-07 08:05:06.08494,197305
029919d17acf85526a216e444f74952c372811820fb0872ccd8004e21dd232cd01,Webium,2021-05-07 08:05:06.876221,3399ff
03f99306c4b39fdcbdfbd6829e88d73df1731e3c2f83bb56ad4c6772329be9b0bb,Plan-B,2021-05-07 08:05:07.139655,3399ff
037a43dc4a544c8cdfb8096295770c6b2ba015daced5e993230f10a3caf8b38333,037a43dc4a544c8cdfb8,2021-05-07 08:05:07.402497,3399ff
02a7259eb344e4adeeecc790c8abb7d6a521512c364b870a700cce02442b43edba,02a7259eb344e4adeeec,2021-05-07 08:05:08.192629,3399ff
024b343ea9282d63aa9339fcd08ba297c4b636ee60b75352a2acc0e7e3dedb4cd0,024b343ea9282d63aa93,2021-05-07 08:05:08.719462,3399ff
03d4fb75c35589772dffd46a8303bb01e6e60d452671ebc2ceb96787be263e8e35,03d4fb75c35589772dff,2021-05-07 08:05:09.247229,3399ff
032a7d669020ba851f8d7a791b81b3a442b229a560821e9a9c6bc0a827620f7c6e,gameb_4,2021-05-07 08:05:10.036659,3399ff
02c8d459ca90b8b659740878eebe339e31763b7535200908632c12e49318c0d543,02c8d459ca90b8b65974,2021-05-07 08:05:10.562594,3399ff
038baffac55a282ae73e0627146a12a345f7beccb90dec07280e8b970a072849cf,038baffac55a282ae73e,2021-05-07 08:05:11.089216,3399ff
023ffbba99b9bc53c429faca43166422574d9106ab97743d81b593618496bb3fe3,023ffbba99b9bc53c429,2021-05-07 08:05:11.354026,3399ff
028ed6a716c1aee73540975a75d70591a4b755a28e46ef7d6b756637d1e637cd32,SovereignIndividual,2021-05-07 08:05:11.88001,3399ff
0273cd5f9d6f354b0ba643d9834242478a72fd16b1b9b439222009974e99a0c6b7,tokencontainermodell,2021-05-07 08:05:12.144496,0273cd
0249839465a8903af634639e4d6e9bbeb4752718ee5d9b63de79c770b5103e8e4e,olympico,2021-05-07 08:05:12.408434,ef820d
02043b4834a867fd8787c9878bace14310318f8622ed1b195e8d2aca2e49499dd5,GRNQRTR🌗🧅,2021-05-07 08:05:12.933593,00baa1
02c569322dcb084ba7144d3eba3abd4490e6f4a9893ac7f49d03c63843e3b2121e,02c569322dcb084ba714,2021-05-07 08:05:13.197901,3399ff
024794d1446e510c75f84bbd75cc151124522aed03ad75a20f1708f77e5f3e674a,-LogansRun-,2021-05-07 08:05:13.726405,b000b5
03ed20a7da84edc238fe83038e9dbf2cc4b1cecd2f171f6d96ca4046ffbf22d32b,Happy Node [TOR],2021-05-07 08:05:13.98943,3399ff
0342a8f61e0cfa173448d28df6a9118bda80f6b7afa81ad3ff7da879422858e884,0342a8f61e0cfa173448,2021-05-07 08:05:14.252835,3399ff
023d720f26cf0835909af1906ef477278b8c8c734924acd0d8f7ab1a1b2a8027c3,BTC Buzzard,2021-05-07 08:05:14.780269,68f442
027aee8dfca1bbe3cc32ebfbe66d9ec7b00f8a08a31c2959a7fa8d6e2122bd67da,027aee8dfca1bbe3cc32,2021-05-07 08:05:15.321406,3399ff
0344a52d590cd944a57a9ee0d2433da228b9ad982004de8638e1296dfe9e11494d,0344a52d590cd944a57a,2021-05-08 09:46:00.597998,3399ff
03f46bc01ef681ed5aa7f50d948c5edbfe75434fc456940f950344bedbccda0f22,03f46bc01ef681ed5aa7,2021-05-08 09:46:01.118231,3399ff
02ab80a1ee4378c178919cfe15b598e9aff529b81dded568ee6554d80e68115929,SRGU1TheInternetIsBroken,2021-05-08 09:46:01.897862,3399ff
02308f3749f21f763906f6b37da95d4fef5ef496ce2aca005352643a766700e041,02308f3749f21f763906,2021-05-08 09:46:02.418404,3399ff
03541e85ec88bbff1d73d4ed738064b1b97fa70d25d3accfa92eb1b9da9bc48548,ThisIsDogFort,2021-05-08 09:46:03.198091,68f442
02e0af3c70bf42343316513e54683b10c01d906c04a05dfcd9479b90d7beed9129,UmbrelReach,2021-05-08 09:46:03.717446,3399ff
03ac3fccdff257b43807a38432de2a661a4405e0ba43d267a75c4a7780d0b19fb3,MaxBolt,2021-05-08 09:46:04.758154,0f3dcd
02a92049f4e3db64277877a046fa934d4949ead7ec938285fed5c1c09f59c09118,Just Us Ghosts,2021-05-08 09:46:05.278302,3399ff
024794d1446e510c75f84bbd75cc151124522aed03ad75a20f1708f77e5f3e674a,LogansRun,2021-05-08 09:46:05.798873,b000b5
021d5f42dbcac879f4b5ee54c57c64519fc18c945deac7aa54a32c36cce315adc4,021d5f42dbcac879f4b5,2021-05-08 09:46:06.062586,3399ff
03394e5aec86daefdc6e376113ca6f9fb95c14397b8e83d0cdba7aaad1e5d8dea5,03394e5aec86daefdc6e,2021-05-08 09:46:06.585529,3399ff
020993761c07ba3ba770d6bc8ace451566d1a17163c6dc497110fc3598b0521417,020993761c07ba3ba770,2021-05-08 09:46:07.104874,3399ff
02776bad1fdf47eaa302e9b6413ddcaf44634c1beec3fb05cfe50dbc289d9cd422,unosatoshi.com,2021-05-08 09:46:07.62338,000000
0278cb4374ceb7d5d3f9e5e392af2a3e631d56fe4ae28c1b4001bae301c6b40cb7,RaspiBlitzSven,2021-05-08 09:46:08.142395,68f442
022b6828c26b02abc1dabd24f7c549bd246678e5d2649f13ddd0ab6a8cb05286b8,022b6828c26b02abc1da,2021-05-08 09:46:08.662437,3399ff
03b8fa3aa49fb83eb40c9f7ddcbcbf37d437b3464fbe6b9bb35d6db8888957b67d,tmnet.ch [Umbrel],2021-05-08 09:46:09.702454,3399ff
034ccf1cbae0cfafd626443b4269cd42f1764bf9da91702a7c128984e53bc47ce2,034ccf1cbae0cfafd626,2021-05-08 09:46:09.963093,3399ff
025bad8578b374b1fe81851b95826ed46887380de8188c8d98d2699eb3aa1b6cf9,025bad8578b374b1fe81,2021-05-08 09:46:10.483504,3399ff
02847e386966aa08f2b29d92621febc5d190b5f1909274a7f56645c93e2ac6945e,02847e386966aa08f2b2,2021-05-08 09:46:11.0032,3399ff
02d459fc75c635ee285246c8ada565f3eaa7c91b553be7a5e48878d0f73645b744,02d459fc75c635ee2852,2021-05-08 09:46:11.523045,3399ff
03fed993b272aad9707f55b56e4a3da2b33d871eb5e1708fee9c6b0903ef18741b,WyomingLTD,2021-05-08 09:46:12.043191,ffff00
02043b4834a867fd8787c9878bace14310318f8622ed1b195e8d2aca2e49499dd5,GRNQRTR 🌗,2021-05-08 09:46:12.563279,00baa1
033b12802b7d9121bcf1e230825069736157a22701675e33cccd9d58212f7bf2d9,033b12802b7d9121bcf1,2021-05-08 09:46:12.823738,3399ff
0293423cdebe76a816eea3c8697b15ae8bd702e19e01798cd7641d5ccdbfc79fa2,0293423cdebe76a816ee,2021-05-08 09:46:13.343851,3399ff
024d2c2b40687a4d4467314671efb2eb43ba105ae469426a1da3875cbeb71c0acf,Tryphon_Tournesol,2021-05-08 09:46:13.865809,00ff00
0304cb6754fa272c00f4934e67a314d3c4d709086ea6b9990e740a393f35b96db0,CypherPoet,2021-05-08 09:46:14.385019,fd3b76
0339e47d2d36d5f79b7c4fbfe01deaff381ed479a153e0b59f22ba9bc69ce6c6a7,0339e47d2d36d5f79b7c,2021-05-08 09:46:14.645615,3399ff
02d41ea2ed132ffcaaf9a745d589cc2c9095ea8bb600faca9b97cef41e2d4230d8,02d41ea2ed132ffcaaf9,2021-05-08 09:46:15.165789,3399ff
0213b8d04ed25fb7c9ad311bc275686aba1addec7095829b326170c093872a6ed2,0213b8d04ed25fb7c9ad,2021-05-08 09:46:15.684275,3399ff
03de12241a172386ccbe7f63535deb81b9417977ca9e0b8ff68bbf7fca62afd700,mynodebtc.com [Kciroj_NL],2021-05-08 09:46:16.464448,68f442
031cec2346d35d33bec321d3453a8d07e90856f88923a98951317b6eaf4b43bceb,031cec2346d35d33bec3,2021-05-08 09:46:16.985333,3399ff
0216032bd51fcbbd8b25814f004ec6d3afc1f12cbc1416e8d77e5f468a1a5435a7,0216032bd51fcbbd8b25,2021-05-08 09:46:17.504796,3399ff
036ec0e6cddf60890f2c31a7b8f0c4cb05f7fddc7255a4d744a423d382b0bbf985,MODBTCNode2,2021-05-08 09:46:18.025337,3399ff
020b77504ec6f3eb22dd140e3e7f844eb8412cd44a90e814a44fec59c7a777c3eb,Big5exy2,2021-05-08 09:46:18.54417,68f442
023e2e18286736427a3a75d75c6dfd4e9bed8ab40920075c8b39bddcbf434ffc7f,023e2e18286736427a3a,2021-05-08 09:46:19.066561,3399ff
029de89e75a849eee0c99bb3414558beca169ce2e4c7b68e6c17581057593ec042,029de89e75a849eee0c9,2021-05-08 09:46:19.586897,3399ff
