period,days_since_coinbase,herfindal_index
Second halving: 3 months following,1,0.82508087372680383
Second halving: 3 months following,2,0.62850186478914649
Second halving: 3 months following,3,0.53906892445365873
Second halving: 3 months following,4,0.49923039154536364
Second halving: 3 months following,5,0.48263276839070696
Second halving: 3 months following,6,0.47370580969190107
Second halving: 3 months following,7,0.46701650435337594
Second halving: 3 months following,8,0.46126915949513869
Second halving: 3 months following,9,0.4557617999401436
Second halving: 3 months following,10,0.45039044520181215
Second halving: 3 months following,11,0.44571679781661755
Second halving: 3 months following,12,0.43946966584270852
Second halving: 3 months following,13,0.4346329863923204
Second halving: 3 months following,14,0.42894853173796454
Second halving: 3 months following,15,0.42163984368599555
Second halving: 3 months following,16,0.41699133837659924
Second halving: 3 months following,17,0.41282699707847376
Second halving: 3 months following,18,0.40783792890995807
Second halving: 3 months following,19,0.40231118163193347
Second halving: 3 months following,20,0.39707190096960621
Second halving: 3 months following,21,0.39244309528685495
Second halving: 3 months following,22,0.38871767440949823
Second halving: 3 months following,23,0.38495376201803322
Second halving: 3 months following,24,0.3815866051842105
Second halving: 3 months following,25,0.37727114838122838
Second halving: 3 months following,26,0.37411218735202756
Second halving: 3 months following,27,0.37084044997398158
Second halving: 3 months following,28,0.36915857543902569
Second halving: 3 months preceding,0,0.97247540091458129
Second halving: 3 months preceding,1,0.78934598866075412
Second halving: 3 months preceding,2,0.5502440717146132
Second halving: 3 months preceding,3,0.46729369091266448
Second halving: 3 months preceding,4,0.44226570688479649
Second halving: 3 months preceding,5,0.43432211355196859
Second halving: 3 months preceding,6,0.42952464893069114
Second halving: 3 months preceding,7,0.42525673061706437
Second halving: 3 months preceding,8,0.41881342900286139
Second halving: 3 months preceding,9,0.41319640869587393
Second halving: 3 months preceding,10,0.40859310414914662
Second halving: 3 months preceding,11,0.40261810417403354
Second halving: 3 months preceding,12,0.397724785783677
Second halving: 3 months preceding,13,0.39357041111339724
Second halving: 3 months preceding,14,0.38976733437884326
Second halving: 3 months preceding,15,0.38641358631797351
Second halving: 3 months preceding,16,0.38397625537633373
Second halving: 3 months preceding,17,0.38069857649170907
Second halving: 3 months preceding,18,0.37769486938327312
Second halving: 3 months preceding,19,0.37426120005177749
Second halving: 3 months preceding,20,0.37168916911143163
Second halving: 3 months preceding,21,0.36787328276025721
Second halving: 3 months preceding,22,0.363592650420768
Second halving: 3 months preceding,23,0.359707039022804
Second halving: 3 months preceding,24,0.35613416198024705
Second halving: 3 months preceding,25,0.352437382658213
Second halving: 3 months preceding,26,0.34885661642979721
Second halving: 3 months preceding,27,0.34601984567858174
Second halving: 3 months preceding,28,0.34219672516333649
Third halving: 3 months following,0,0.98803759436838268
Third halving: 3 months following,1,0.72394592443720518
Third halving: 3 months following,2,0.46101565235284092
Third halving: 3 months following,3,0.37126802032688327
Third halving: 3 months following,4,0.33129257346993113
Third halving: 3 months following,5,0.307115092484983
Third halving: 3 months following,6,0.29483190385330504
Third halving: 3 months following,7,0.28461812235693718
Third halving: 3 months following,8,0.27772662685679822
Third halving: 3 months following,9,0.27148560257543031
Third halving: 3 months following,10,0.26821342535223414
Third halving: 3 months following,11,0.2656873984820724
Third halving: 3 months following,12,0.26334155728809311
Third halving: 3 months following,13,0.26081716229910851
Third halving: 3 months following,14,0.25669886354656429
Third halving: 3 months following,15,0.2543636673783623
Third halving: 3 months following,16,0.25133816269523057
Third halving: 3 months following,17,0.250895483352755
Third halving: 3 months following,18,0.24824894024623284
Third halving: 3 months following,19,0.2468697995111411
Third halving: 3 months following,20,0.24690887513963869
Third halving: 3 months following,21,0.24648341335094834
Third halving: 3 months following,22,0.24765545080630588
Third halving: 3 months following,23,0.24704229074295889
Third halving: 3 months following,24,0.2463285430482807
Third halving: 3 months following,25,0.24698547187669442
